Placa,Tipo,Servicio,Ubicacion_Inscripcion
YRH282,Carro,Particular,MANIZALES
IWZ803,Carro,Particular,PASTO
XLS85D,Moto,Motocicleta,COLOMBIA
PYT91H,Moto,Motocicleta,COLOMBIA
DQU19E,Moto,Motocicleta,COLOMBIA
LWS99L,Moto,Motocicleta,COLOMBIA
KSF241,Carro,Oficial,BUCARAMANGA
KCU03D,Moto,Motocicleta,COLOMBIA
XCT67P,Moto,Motocicleta,COLOMBIA
PZF66W,Moto,Motocicleta,COLOMBIA
GYZ29U,Moto,Motocicleta,COLOMBIA
UKS981,Carro,Publico,MEDELLIN
CBU15Y,Moto,Motocicleta,COLOMBIA
RYK081,Carro,Publico,TUNJA
JBY018,Carro,Publico,CUCUTA
CIL154,Carro,Oficial,BARRANQUILLA
NXR927,Carro,Particular,PASTO
PDH238,Carro,Publico,PASTO
JWU26U,Moto,Motocicleta,COLOMBIA
BIG493,Carro,Oficial,PASTO
HTJ77A,Moto,Motocicleta,COLOMBIA
CNM85C,Moto,Motocicleta,COLOMBIA
LRK59Z,Moto,Motocicleta,COLOMBIA
NBM749,Carro,Particular,MANIZALES
JXU839,Carro,Particular,MANIZALES
VQZ82I,Moto,Motocicleta,COLOMBIA
KBZ401,Carro,Particular,MANIZALES
LDJ313,Carro,Oficial,CUCUTA
VSJ194,Carro,Publico,MANIZALES
LIK40W,Moto,Motocicleta,COLOMBIA
KFZ433,Carro,Oficial,MANIZALES
PPM661,Carro,Publico,ENVIGADO
TWS74R,Moto,Motocicleta,COLOMBIA
VXM395,Carro,Oficial,PASTO
HTE37R,Moto,Motocicleta,COLOMBIA
JBB19V,Moto,Motocicleta,COLOMBIA
QYA82P,Moto,Motocicleta,COLOMBIA
WQL573,Carro,Oficial,TUNJA
DCU189,Carro,Oficial,BUCARAMANGA
DFK38F,Moto,Motocicleta,COLOMBIA
CJW66E,Moto,Motocicleta,COLOMBIA
LNH73R,Moto,Motocicleta,COLOMBIA
DBS466,Carro,Particular,MANIZALES
TUJ199,Carro,Particular,CUCUTA
PST69W,Moto,Motocicleta,COLOMBIA
PQG97K,Moto,Motocicleta,COLOMBIA
GFK073,Carro,Particular,CALI
ELC252,Carro,Particular,CUCUTA
SCB797,Carro,Particular,BARRANQUILLA
QPL276,Carro,Publico,PASTO
BAG600,Carro,Particular,TUNJA
PMN32L,Moto,Motocicleta,COLOMBIA
SXF173,Carro,Particular,IBAGUE
QQZ74K,Moto,Motocicleta,COLOMBIA
SUD484,Carro,Oficial,BOGOTA D.C.
DSS77E,Moto,Motocicleta,COLOMBIA
MPC978,Carro,Oficial,CALI
GDP72I,Moto,Motocicleta,COLOMBIA
JPC979,Carro,Oficial,CALI
UPN369,Carro,Oficial,PEREIRA
XIM362,Carro,Publico,TUNJA
NRN76A,Moto,Motocicleta,COLOMBIA
FES14G,Moto,Motocicleta,COLOMBIA
RSE483,Carro,Particular,PASTO
DSF70H,Moto,Motocicleta,COLOMBIA
QLB068,Carro,Particular,MEDELLIN
TUV95H,Moto,Motocicleta,COLOMBIA
UFE653,Carro,Particular,BUCARAMANGA
XGD208,Carro,Particular,ENVIGADO
RPA06C,Moto,Motocicleta,COLOMBIA
DBU474,Carro,Publico,BOGOTA D.C.
ESG782,Carro,Oficial,MANIZALES
ZVK74J,Moto,Motocicleta,COLOMBIA
CVM17K,Moto,Motocicleta,COLOMBIA
JNI45L,Moto,Motocicleta,COLOMBIA
RDE68P,Moto,Motocicleta,COLOMBIA
DKA51I,Moto,Motocicleta,COLOMBIA
YMI39D,Moto,Motocicleta,COLOMBIA
UMF996,Carro,Publico,MEDELLIN
JLA69H,Moto,Motocicleta,COLOMBIA
XMC331,Carro,Oficial,MANIZALES
QGM22V,Moto,Motocicleta,COLOMBIA
YVY056,Carro,Particular,PASTO
THP26T,Moto,Motocicleta,COLOMBIA
FEK683,Carro,Oficial,PEREIRA
KDE63P,Moto,Motocicleta,COLOMBIA
VZY80W,Moto,Motocicleta,COLOMBIA
VKA89S,Moto,Motocicleta,COLOMBIA
LFW64L,Moto,Motocicleta,COLOMBIA
VZP838,Carro,Oficial,CALI
VZM67N,Moto,Motocicleta,COLOMBIA
KUQ27N,Moto,Motocicleta,COLOMBIA
ZPE27X,Moto,Motocicleta,COLOMBIA
PAY690,Carro,Oficial,ENVIGADO
NER288,Carro,Particular,PEREIRA
AAK30S,Moto,Motocicleta,COLOMBIA
SWA876,Carro,Publico,PASTO
AJH57K,Moto,Motocicleta,COLOMBIA
QGL032,Carro,Publico,PASTO
NWD106,Carro,Particular,BUCARAMANGA
RZQ71X,Moto,Motocicleta,COLOMBIA
UIB387,Carro,Publico,ENVIGADO
HUL67D,Moto,Motocicleta,COLOMBIA
RAR491,Carro,Publico,MANIZALES
SEA36P,Moto,Motocicleta,COLOMBIA
ULM048,Carro,Oficial,BOGOTA D.C.
TNP943,Carro,Publico,PASTO
BYW62K,Moto,Motocicleta,COLOMBIA
BDS22Z,Moto,Motocicleta,COLOMBIA
YWL05Z,Moto,Motocicleta,COLOMBIA
YKZ332,Carro,Oficial,TUNJA
DEL996,Carro,Particular,PEREIRA
LMT361,Carro,Publico,PEREIRA
JKY10E,Moto,Motocicleta,COLOMBIA
KUC87H,Moto,Motocicleta,COLOMBIA
RQZ563,Carro,Publico,BARRANQUILLA
NXW409,Carro,Particular,ENVIGADO
FMF849,Carro,Oficial,MEDELLIN
YES071,Carro,Particular,MANIZALES
FMF74U,Moto,Motocicleta,COLOMBIA
WHG90Q,Moto,Motocicleta,COLOMBIA
FFU223,Carro,Oficial,IBAGUE
BWS28Y,Moto,Motocicleta,COLOMBIA
AQC491,Carro,Publico,TUNJA
YPB49X,Moto,Motocicleta,COLOMBIA
SEQ279,Carro,Oficial,BUCARAMANGA
QWJ209,Carro,Oficial,CALI
WZU51N,Moto,Motocicleta,COLOMBIA
YGW60X,Moto,Motocicleta,COLOMBIA
NAZ26L,Moto,Motocicleta,COLOMBIA
ZGC548,Carro,Oficial,MANIZALES
TNJ63E,Moto,Motocicleta,COLOMBIA
TQX24V,Moto,Motocicleta,COLOMBIA
PGA102,Carro,Oficial,MEDELLIN
ZIC883,Carro,Oficial,CUCUTA
ZEZ48E,Moto,Motocicleta,COLOMBIA
VJT837,Carro,Particular,IBAGUE
PAB070,Carro,Oficial,MEDELLIN
PFB646,Carro,Particular,MEDELLIN
KBN812,Carro,Particular,MANIZALES
FLL12J,Moto,Motocicleta,COLOMBIA
EGG57R,Moto,Motocicleta,COLOMBIA
PBJ43S,Moto,Motocicleta,COLOMBIA
KKL877,Carro,Particular,MANIZALES
DQC12L,Moto,Motocicleta,COLOMBIA
KDT278,Carro,Particular,BUCARAMANGA
UNK878,Carro,Particular,MEDELLIN
RQW330,Carro,Particular,TUNJA
TZI64T,Moto,Motocicleta,COLOMBIA
YQT640,Carro,Publico,PASTO
SSW38N,Moto,Motocicleta,COLOMBIA
EEE971,Carro,Oficial,PASTO
ZKU225,Carro,Publico,TUNJA
BRI718,Carro,Oficial,CALI
JYZ249,Carro,Particular,BARRANQUILLA
TQX89P,Moto,Motocicleta,COLOMBIA
HFB64M,Moto,Motocicleta,COLOMBIA
BBV90D,Moto,Motocicleta,COLOMBIA
UQA767,Carro,Oficial,BUCARAMANGA
DME526,Carro,Oficial,PEREIRA
IDU34R,Moto,Motocicleta,COLOMBIA
SZH16U,Moto,Motocicleta,COLOMBIA
HGR92W,Moto,Motocicleta,COLOMBIA
GFR25K,Moto,Motocicleta,COLOMBIA
GCP01U,Moto,Motocicleta,COLOMBIA
PEN038,Carro,Oficial,CUCUTA
XPQ22T,Moto,Motocicleta,COLOMBIA
VUI84Q,Moto,Motocicleta,COLOMBIA
XJT91B,Moto,Motocicleta,COLOMBIA
VXT641,Carro,Particular,BUCARAMANGA
EJU36P,Moto,Motocicleta,COLOMBIA
WCQ802,Carro,Publico,PASTO
UEV63I,Moto,Motocicleta,COLOMBIA
QID275,Carro,Publico,TUNJA
FQT63B,Moto,Motocicleta,COLOMBIA
VBV165,Carro,Publico,CALI
GVZ63K,Moto,Motocicleta,COLOMBIA
VSH96B,Moto,Motocicleta,COLOMBIA
QYN99N,Moto,Motocicleta,COLOMBIA
YXT47J,Moto,Motocicleta,COLOMBIA
ZAR063,Carro,Oficial,CUCUTA
TDS98D,Moto,Motocicleta,COLOMBIA
MJI912,Carro,Particular,ENVIGADO
IIJ60N,Moto,Motocicleta,COLOMBIA
RRV051,Carro,Particular,MANIZALES
NYV311,Carro,Publico,PASTO
III717,Carro,Publico,MEDELLIN
DRJ81P,Moto,Motocicleta,COLOMBIA
GAZ589,Carro,Particular,PASTO
TGJ714,Carro,Particular,CALI
LCG268,Carro,Oficial,BOGOTA D.C.
BAC132,Carro,Oficial,PASTO
LAI727,Carro,Publico,BUCARAMANGA
ITA70Y,Moto,Motocicleta,COLOMBIA
JTN931,Carro,Particular,BUCARAMANGA
TFR066,Carro,Particular,MEDELLIN
ZTA812,Carro,Particular,CUCUTA
QTT887,Carro,Oficial,MANIZALES
ABF804,Carro,Particular,PASTO
TRR55P,Moto,Motocicleta,COLOMBIA
KMN45K,Moto,Motocicleta,COLOMBIA
WWY13M,Moto,Motocicleta,COLOMBIA
KCY002,Carro,Publico,BOGOTA D.C.
GZW388,Carro,Particular,MANIZALES
UWW67B,Moto,Motocicleta,COLOMBIA
BYU09D,Moto,Motocicleta,COLOMBIA
XQA913,Carro,Publico,BUCARAMANGA
CPT623,Carro,Publico,BUCARAMANGA
TSW595,Carro,Publico,CUCUTA
DBZ64M,Moto,Motocicleta,COLOMBIA
JLR436,Carro,Publico,PEREIRA
AIL456,Carro,Oficial,MANIZALES
ISB474,Carro,Particular,TUNJA
IQE408,Carro,Publico,BARRANQUILLA
UPD632,Carro,Particular,BOGOTA D.C.
NVQ251,Carro,Oficial,CUCUTA
PYX46B,Moto,Motocicleta,COLOMBIA
YRL964,Carro,Particular,PASTO
ZPD87F,Moto,Motocicleta,COLOMBIA
DEL394,Carro,Publico,PEREIRA
FPC897,Carro,Publico,TUNJA
FQV13C,Moto,Motocicleta,COLOMBIA
DQG799,Carro,Publico,PEREIRA
WQP06D,Moto,Motocicleta,COLOMBIA
RXT20Y,Moto,Motocicleta,COLOMBIA
CNY10E,Moto,Motocicleta,COLOMBIA
RAD97U,Moto,Motocicleta,COLOMBIA
VFR85K,Moto,Motocicleta,COLOMBIA
MNR60X,Moto,Motocicleta,COLOMBIA
QKT245,Carro,Oficial,ENVIGADO
LXN99G,Moto,Motocicleta,COLOMBIA
BQC81D,Moto,Motocicleta,COLOMBIA
GRR52T,Moto,Motocicleta,COLOMBIA
KVU39D,Moto,Motocicleta,COLOMBIA
UHZ389,Carro,Oficial,PASTO
MNP924,Carro,Publico,BOGOTA D.C.
IVI01Z,Moto,Motocicleta,COLOMBIA
VAE055,Carro,Particular,ENVIGADO
PFQ76Q,Moto,Motocicleta,COLOMBIA
AIE479,Carro,Particular,TUNJA
LFY151,Carro,Particular,BUCARAMANGA
CMP55X,Moto,Motocicleta,COLOMBIA
GWW623,Carro,Oficial,BUCARAMANGA
WTP492,Carro,Particular,PEREIRA
RJU589,Carro,Oficial,TUNJA
ZSC074,Carro,Publico,ENVIGADO
RJP568,Carro,Publico,MANIZALES
WEI89H,Moto,Motocicleta,COLOMBIA
GXQ625,Carro,Publico,IBAGUE
PWQ95X,Moto,Motocicleta,COLOMBIA
AFI939,Carro,Particular,BOGOTA D.C.
DJF751,Carro,Oficial,BUCARAMANGA
VZA701,Carro,Oficial,MANIZALES
IEH942,Carro,Publico,CALI
KHF83N,Moto,Motocicleta,COLOMBIA
PFZ30V,Moto,Motocicleta,COLOMBIA
IMD501,Carro,Particular,ENVIGADO
BMA66J,Moto,Motocicleta,COLOMBIA
SAT654,Carro,Publico,ENVIGADO
PWA59L,Moto,Motocicleta,COLOMBIA
WTR92U,Moto,Motocicleta,COLOMBIA
IPF26N,Moto,Motocicleta,COLOMBIA
JBD294,Carro,Particular,BUCARAMANGA
ZQH408,Carro,Publico,CALI
UNU95C,Moto,Motocicleta,COLOMBIA
RDH17H,Moto,Motocicleta,COLOMBIA
FNG878,Carro,Oficial,BOGOTA D.C.
DFG25B,Moto,Motocicleta,COLOMBIA
RWL440,Carro,Oficial,BUCARAMANGA
BNW108,Carro,Particular,PASTO
CKE52D,Moto,Motocicleta,COLOMBIA
YVX983,Carro,Oficial,MEDELLIN
DJA931,Carro,Publico,PASTO
WHX066,Carro,Particular,CALI
QZQ909,Carro,Publico,BUCARAMANGA
NKP86F,Moto,Motocicleta,COLOMBIA
AGA976,Carro,Particular,PASTO
ARW508,Carro,Publico,PASTO
DBU121,Carro,Particular,BARRANQUILLA
CJW71A,Moto,Motocicleta,COLOMBIA
EJN27I,Moto,Motocicleta,COLOMBIA
DZJ77J,Moto,Motocicleta,COLOMBIA
FJC18U,Moto,Motocicleta,COLOMBIA
DHT961,Carro,Oficial,PASTO
XIN650,Carro,Particular,ENVIGADO
SCB72T,Moto,Motocicleta,COLOMBIA
JIQ30M,Moto,Motocicleta,COLOMBIA
JET97X,Moto,Motocicleta,COLOMBIA
DQM359,Carro,Oficial,CUCUTA
MDA65B,Moto,Motocicleta,COLOMBIA
HNW73L,Moto,Motocicleta,COLOMBIA
ZHN55R,Moto,Motocicleta,COLOMBIA
DYP02S,Moto,Motocicleta,COLOMBIA
STC271,Carro,Publico,TUNJA
XBI222,Carro,Particular,PEREIRA
JNB62Z,Moto,Motocicleta,COLOMBIA
ZRG54L,Moto,Motocicleta,COLOMBIA
APR99H,Moto,Motocicleta,COLOMBIA
QRX836,Carro,Publico,CUCUTA
LLD429,Carro,Publico,IBAGUE
YEE00U,Moto,Motocicleta,COLOMBIA
ANH062,Carro,Publico,IBAGUE
KGE461,Carro,Publico,CUCUTA
XMS54F,Moto,Motocicleta,COLOMBIA
XXX41H,Moto,Motocicleta,COLOMBIA
XWZ93C,Moto,Motocicleta,COLOMBIA
FRD598,Carro,Oficial,BOGOTA D.C.
TVN56T,Moto,Motocicleta,COLOMBIA
ASS996,Carro,Publico,BOGOTA D.C.
DZT047,Carro,Publico,PASTO
YNY327,Carro,Oficial,PEREIRA
DGC256,Carro,Publico,CUCUTA
GVM814,Carro,Publico,PEREIRA
BLX35I,Moto,Motocicleta,COLOMBIA
CQM184,Carro,Publico,IBAGUE
FWK821,Carro,Publico,TUNJA
KTC092,Carro,Particular,CALI
KPC91I,Moto,Motocicleta,COLOMBIA
SVW38S,Moto,Motocicleta,COLOMBIA
AIN744,Carro,Publico,BOGOTA D.C.
QBF865,Carro,Oficial,MANIZALES
XVF06T,Moto,Motocicleta,COLOMBIA
XUK13G,Moto,Motocicleta,COLOMBIA
EMI76B,Moto,Motocicleta,COLOMBIA
MYV638,Carro,Particular,MEDELLIN
VSI771,Carro,Particular,MANIZALES
FZS58U,Moto,Motocicleta,COLOMBIA
TJX58K,Moto,Motocicleta,COLOMBIA
MZZ64W,Moto,Motocicleta,COLOMBIA
ECH231,Carro,Particular,TUNJA
EAP182,Carro,Particular,ENVIGADO
XGB18Z,Moto,Motocicleta,COLOMBIA
UDZ74N,Moto,Motocicleta,COLOMBIA
UAD78Z,Moto,Motocicleta,COLOMBIA
HZE60D,Moto,Motocicleta,COLOMBIA
QZL35P,Moto,Motocicleta,COLOMBIA
XRW452,Carro,Publico,MANIZALES
NDJ293,Carro,Particular,CALI
UBL385,Carro,Publico,BOGOTA D.C.
KXX71X,Moto,Motocicleta,COLOMBIA
VUI612,Carro,Publico,BUCARAMANGA
BSQ60J,Moto,Motocicleta,COLOMBIA
ATI384,Carro,Oficial,CALI
PEK50S,Moto,Motocicleta,COLOMBIA
LVT944,Carro,Publico,ENVIGADO
HNE46V,Moto,Motocicleta,COLOMBIA
WVC644,Carro,Particular,PASTO
ZJE433,Carro,Particular,ENVIGADO
PUX21Y,Moto,Motocicleta,COLOMBIA
NVG01S,Moto,Motocicleta,COLOMBIA
ZVJ34E,Moto,Motocicleta,COLOMBIA
CYK31A,Moto,Motocicleta,COLOMBIA
FDG17L,Moto,Motocicleta,COLOMBIA
YTK45L,Moto,Motocicleta,COLOMBIA
MWJ86K,Moto,Motocicleta,COLOMBIA
XRH75G,Moto,Motocicleta,COLOMBIA
RDH48H,Moto,Motocicleta,COLOMBIA
RBE594,Carro,Particular,MEDELLIN
ZMI866,Carro,Oficial,TUNJA
TNZ50S,Moto,Motocicleta,COLOMBIA
ARZ033,Carro,Oficial,BUCARAMANGA
JRN204,Carro,Publico,BUCARAMANGA
VHR853,Carro,Publico,PASTO
IDC168,Carro,Publico,BUCARAMANGA
JNK53X,Moto,Motocicleta,COLOMBIA
LRN575,Carro,Particular,MEDELLIN
CYQ54X,Moto,Motocicleta,COLOMBIA
TDI12N,Moto,Motocicleta,COLOMBIA
SIK88N,Moto,Motocicleta,COLOMBIA
SRX74L,Moto,Motocicleta,COLOMBIA
USX949,Carro,Particular,TUNJA
YKM083,Carro,Publico,CALI
ZRB35H,Moto,Motocicleta,COLOMBIA
JCW978,Carro,Oficial,PASTO
SDB183,Carro,Oficial,IBAGUE
GIH58I,Moto,Motocicleta,COLOMBIA
HTU931,Carro,Publico,MEDELLIN
IRA85Y,Moto,Motocicleta,COLOMBIA
RTW545,Carro,Particular,CUCUTA
VQW757,Carro,Particular,ENVIGADO
PZF07Z,Moto,Motocicleta,COLOMBIA
YFL049,Carro,Publico,CALI
CSU811,Carro,Particular,PASTO
LPU352,Carro,Oficial,CALI
HEU574,Carro,Particular,BOGOTA D.C.
WIU10N,Moto,Motocicleta,COLOMBIA
ACM18N,Moto,Motocicleta,COLOMBIA
QRJ68Z,Moto,Motocicleta,COLOMBIA
JGY84M,Moto,Motocicleta,COLOMBIA
QTP831,Carro,Publico,TUNJA
WCJ029,Carro,Publico,MEDELLIN
JZT424,Carro,Oficial,CUCUTA
MPA092,Carro,Oficial,PASTO
WTD943,Carro,Oficial,CUCUTA
VVI58Z,Moto,Motocicleta,COLOMBIA
LAW133,Carro,Oficial,CUCUTA
FIY722,Carro,Oficial,ENVIGADO
KJA620,Carro,Oficial,MEDELLIN
GKT48L,Moto,Motocicleta,COLOMBIA
XYQ26G,Moto,Motocicleta,COLOMBIA
YFI518,Carro,Oficial,BOGOTA D.C.
ZKR07K,Moto,Motocicleta,COLOMBIA
DGW145,Carro,Oficial,ENVIGADO
EJG344,Carro,Publico,IBAGUE
VNA056,Carro,Particular,MEDELLIN
QIX597,Carro,Oficial,IBAGUE
CBW43G,Moto,Motocicleta,COLOMBIA
SNW40H,Moto,Motocicleta,COLOMBIA
ESZ289,Carro,Particular,PEREIRA
VTH443,Carro,Oficial,PASTO
EME97C,Moto,Motocicleta,COLOMBIA
LHC167,Carro,Particular,ENVIGADO
TMF323,Carro,Particular,CALI
MPA46C,Moto,Motocicleta,COLOMBIA
FZX255,Carro,Publico,IBAGUE
FJX27H,Moto,Motocicleta,COLOMBIA
TDZ24C,Moto,Motocicleta,COLOMBIA
THZ104,Carro,Particular,BOGOTA D.C.
YHC767,Carro,Publico,BUCARAMANGA
FEV782,Carro,Particular,MEDELLIN
JAZ083,Carro,Oficial,BARRANQUILLA
YDL32A,Moto,Motocicleta,COLOMBIA
HCK81T,Moto,Motocicleta,COLOMBIA
HMX35H,Moto,Motocicleta,COLOMBIA
XDL735,Carro,Oficial,CUCUTA
AYR056,Carro,Publico,BOGOTA D.C.
UHS61F,Moto,Motocicleta,COLOMBIA
MGD219,Carro,Oficial,BOGOTA D.C.
ERS72P,Moto,Motocicleta,COLOMBIA
EHT37E,Moto,Motocicleta,COLOMBIA
JVM479,Carro,Oficial,PEREIRA
BTK935,Carro,Oficial,BUCARAMANGA
QRU970,Carro,Oficial,PASTO
ZZY99K,Moto,Motocicleta,COLOMBIA
XTU063,Carro,Oficial,IBAGUE
BHP71Y,Moto,Motocicleta,COLOMBIA
INC12L,Moto,Motocicleta,COLOMBIA
TBM35V,Moto,Motocicleta,COLOMBIA
CYV932,Carro,Publico,MANIZALES
BJW24J,Moto,Motocicleta,COLOMBIA
VRB57E,Moto,Motocicleta,COLOMBIA
NZZ969,Carro,Particular,IBAGUE
XAI562,Carro,Oficial,BARRANQUILLA
SPY77S,Moto,Motocicleta,COLOMBIA
EBX766,Carro,Publico,TUNJA
HLG636,Carro,Particular,PASTO
LWT159,Carro,Particular,CALI
SVV34S,Moto,Motocicleta,COLOMBIA
AVZ691,Carro,Particular,BOGOTA D.C.
FKT758,Carro,Particular,BOGOTA D.C.
QEB12S,Moto,Motocicleta,COLOMBIA
RZW601,Carro,Oficial,CALI
DCV85U,Moto,Motocicleta,COLOMBIA
AGI89D,Moto,Motocicleta,COLOMBIA
SJB62G,Moto,Motocicleta,COLOMBIA
WTM07Z,Moto,Motocicleta,COLOMBIA
KHR41F,Moto,Motocicleta,COLOMBIA
RBK069,Carro,Particular,PASTO
GGS895,Carro,Oficial,MANIZALES
YMU78Y,Moto,Motocicleta,COLOMBIA
ENY18P,Moto,Motocicleta,COLOMBIA
ZFX851,Carro,Publico,PASTO
PRZ147,Carro,Particular,CUCUTA
PAB16M,Moto,Motocicleta,COLOMBIA
ABH823,Carro,Publico,ENVIGADO
CXU19X,Moto,Motocicleta,COLOMBIA
TKY10R,Moto,Motocicleta,COLOMBIA
ZGH41L,Moto,Motocicleta,COLOMBIA
GDN52Y,Moto,Motocicleta,COLOMBIA
WEV193,Carro,Particular,BOGOTA D.C.
YLX738,Carro,Publico,CALI
UWA95E,Moto,Motocicleta,COLOMBIA
UZX25W,Moto,Motocicleta,COLOMBIA
PED45R,Moto,Motocicleta,COLOMBIA
JVG053,Carro,Publico,BUCARAMANGA
INX95L,Moto,Motocicleta,COLOMBIA
RDX90E,Moto,Motocicleta,COLOMBIA
NYZ27W,Moto,Motocicleta,COLOMBIA
UVX878,Carro,Publico,TUNJA
IEH99R,Moto,Motocicleta,COLOMBIA
IRG143,Carro,Publico,MEDELLIN
XZN561,Carro,Oficial,MEDELLIN
HWI77W,Moto,Motocicleta,COLOMBIA
HHS78M,Moto,Motocicleta,COLOMBIA
DBN79P,Moto,Motocicleta,COLOMBIA
YAW29V,Moto,Motocicleta,COLOMBIA
MYZ91Q,Moto,Motocicleta,COLOMBIA
TFT67C,Moto,Motocicleta,COLOMBIA
FHS69J,Moto,Motocicleta,COLOMBIA
BVP438,Carro,Publico,CALI
RKM630,Carro,Publico,ENVIGADO
GTZ381,Carro,Publico,IBAGUE
SDZ48Q,Moto,Motocicleta,COLOMBIA
SWU34Y,Moto,Motocicleta,COLOMBIA
GZJ88B,Moto,Motocicleta,COLOMBIA
YRI68S,Moto,Motocicleta,COLOMBIA
JNR472,Carro,Particular,MANIZALES
FLP51X,Moto,Motocicleta,COLOMBIA
MXE79T,Moto,Motocicleta,COLOMBIA
FMN866,Carro,Particular,PEREIRA
GVQ31V,Moto,Motocicleta,COLOMBIA
XBV855,Carro,Oficial,PASTO
ECU723,Carro,Publico,TUNJA
KFN60U,Moto,Motocicleta,COLOMBIA
TLF612,Carro,Publico,ENVIGADO
HSG259,Carro,Particular,CUCUTA
RFE300,Carro,Publico,MANIZALES
KTE077,Carro,Publico,CALI
XXM65Z,Moto,Motocicleta,COLOMBIA
YIH50F,Moto,Motocicleta,COLOMBIA
TCP66G,Moto,Motocicleta,COLOMBIA
QZS29V,Moto,Motocicleta,COLOMBIA
ULA38D,Moto,Motocicleta,COLOMBIA
RGV117,Carro,Particular,MANIZALES
SLT47F,Moto,Motocicleta,COLOMBIA
IKX725,Carro,Particular,IBAGUE
KEY33L,Moto,Motocicleta,COLOMBIA
LCB158,Carro,Publico,BOGOTA D.C.
LZM75C,Moto,Motocicleta,COLOMBIA
LVZ68V,Moto,Motocicleta,COLOMBIA
TTE437,Carro,Particular,BOGOTA D.C.
GVM36E,Moto,Motocicleta,COLOMBIA
ZCJ00D,Moto,Motocicleta,COLOMBIA
CMV26P,Moto,Motocicleta,COLOMBIA
UND45R,Moto,Motocicleta,COLOMBIA
LLZ407,Carro,Particular,MANIZALES
AAT951,Carro,Publico,PASTO
MJJ044,Carro,Publico,BUCARAMANGA
JLW151,Carro,Particular,PASTO
UAQ445,Carro,Publico,BOGOTA D.C.
XQK352,Carro,Particular,CALI
RMC97K,Moto,Motocicleta,COLOMBIA
GVG33T,Moto,Motocicleta,COLOMBIA
BUH43K,Moto,Motocicleta,COLOMBIA
KLR473,Carro,Particular,MEDELLIN
HDY85M,Moto,Motocicleta,COLOMBIA
GMR96B,Moto,Motocicleta,COLOMBIA
HED13Z,Moto,Motocicleta,COLOMBIA
RXU41X,Moto,Motocicleta,COLOMBIA
WIE446,Carro,Particular,BOGOTA D.C.
QRL472,Carro,Oficial,PASTO
DLG73H,Moto,Motocicleta,COLOMBIA
DXM987,Carro,Particular,PEREIRA
UDS949,Carro,Oficial,MEDELLIN
SKW453,Carro,Particular,CALI
CZU772,Carro,Particular,TUNJA
DVB68Q,Moto,Motocicleta,COLOMBIA
MEL165,Carro,Oficial,BOGOTA D.C.
DNK907,Carro,Publico,IBAGUE
TMI30Z,Moto,Motocicleta,COLOMBIA
SNV12T,Moto,Motocicleta,COLOMBIA
ADS33E,Moto,Motocicleta,COLOMBIA
LVG73E,Moto,Motocicleta,COLOMBIA
TLP597,Carro,Publico,BARRANQUILLA
SPG735,Carro,Oficial,PASTO
ABI911,Carro,Particular,BOGOTA D.C.
LRS919,Carro,Oficial,PEREIRA
VCJ65Z,Moto,Motocicleta,COLOMBIA
NAQ946,Carro,Particular,BUCARAMANGA
VUI21H,Moto,Motocicleta,COLOMBIA
KLL16N,Moto,Motocicleta,COLOMBIA
IRU60E,Moto,Motocicleta,COLOMBIA
FZX970,Carro,Particular,CUCUTA
VQK26G,Moto,Motocicleta,COLOMBIA
JJR813,Carro,Publico,BUCARAMANGA
APV437,Carro,Oficial,CALI
UHJ489,Carro,Particular,BOGOTA D.C.
BZG24D,Moto,Motocicleta,COLOMBIA
UEJ42M,Moto,Motocicleta,COLOMBIA
XSU87L,Moto,Motocicleta,COLOMBIA
SJG912,Carro,Publico,BOGOTA D.C.
REH24Y,Moto,Motocicleta,COLOMBIA
XMX533,Carro,Particular,MEDELLIN
YGT957,Carro,Particular,BARRANQUILLA
FNK21I,Moto,Motocicleta,COLOMBIA
TIC73B,Moto,Motocicleta,COLOMBIA
PMN459,Carro,Particular,IBAGUE
JPD11N,Moto,Motocicleta,COLOMBIA
GPG727,Carro,Particular,PEREIRA
VNV91L,Moto,Motocicleta,COLOMBIA
MBS73F,Moto,Motocicleta,COLOMBIA
FFA56P,Moto,Motocicleta,COLOMBIA
XMZ43L,Moto,Motocicleta,COLOMBIA
VRN969,Carro,Oficial,ENVIGADO
GWL64B,Moto,Motocicleta,COLOMBIA
KJS16P,Moto,Motocicleta,COLOMBIA
DZE527,Carro,Particular,BOGOTA D.C.
GDJ96L,Moto,Motocicleta,COLOMBIA
NSJ04B,Moto,Motocicleta,COLOMBIA
RUK30H,Moto,Motocicleta,COLOMBIA
WWM38T,Moto,Motocicleta,COLOMBIA
YLV190,Carro,Particular,BARRANQUILLA
DGQ431,Carro,Oficial,IBAGUE
SEY593,Carro,Oficial,CALI
GCI04A,Moto,Motocicleta,COLOMBIA
RGV150,Carro,Oficial,MANIZALES
HTE108,Carro,Oficial,BOGOTA D.C.
SVH252,Carro,Particular,MANIZALES
KZG704,Carro,Oficial,BARRANQUILLA
ZSL654,Carro,Publico,MANIZALES
UEU999,Carro,Publico,TUNJA
IBA657,Carro,Oficial,PASTO
BJI958,Carro,Oficial,CUCUTA
RPZ12Y,Moto,Motocicleta,COLOMBIA
RNN95S,Moto,Motocicleta,COLOMBIA
FFS41Y,Moto,Motocicleta,COLOMBIA
WIM008,Carro,Publico,CUCUTA
